index,label,resolution,hemisphere,RSN,color
1,LH_Vis_1,7Networks,LH,Visual,#781180
2,LH_Vis_2,7Networks,LH,Visual,#781181
3,LH_Vis_3,7Networks,LH,Visual,#781182
4,LH_Vis_4,7Networks,LH,Visual,#781183
5,LH_Vis_5,7Networks,LH,Visual,#781184
6,LH_Vis_6,7Networks,LH,Visual,#781185
7,LH_Vis_7,7Networks,LH,Visual,#781186
8,LH_Vis_8,7Networks,LH,Visual,#78127f
9,LH_Vis_9,7Networks,LH,Visual,#781280
10,LH_Vis_10,7Networks,LH,Visual,#781281
11,LH_Vis_11,7Networks,LH,Visual,#781282
12,LH_Vis_12,7Networks,LH,Visual,#781283
13,LH_Vis_13,7Networks,LH,Visual,#781284
14,LH_Vis_14,7Networks,LH,Visual,#781285
15,LH_Vis_15,7Networks,LH,Visual,#781287
16,LH_Vis_16,7Networks,LH,Visual,#781288
17,LH_Vis_17,7Networks,LH,Visual,#781289
18,LH_Vis_18,7Networks,LH,Visual,#78128a
19,LH_Vis_19,7Networks,LH,Visual,#78128b
20,LH_Vis_20,7Networks,LH,Visual,#78128c
21,LH_Vis_21,7Networks,LH,Visual,#78128d
22,LH_Vis_22,7Networks,LH,Visual,#781386
23,LH_Vis_23,7Networks,LH,Visual,#781387
24,LH_Vis_24,7Networks,LH,Visual,#781388
25,LH_Vis_25,7Networks,LH,Visual,#781389
26,LH_Vis_26,7Networks,LH,Visual,#78138a
27,LH_Vis_27,7Networks,LH,Visual,#78138b
28,LH_Vis_28,7Networks,LH,Visual,#78138c
29,LH_Vis_29,7Networks,LH,Visual,#78138d
30,LH_Vis_30,7Networks,LH,Visual,#781486
31,LH_Vis_31,7Networks,LH,Visual,#781487
32,LH_SomMot_1,7Networks,LH,SomMot,#4680b3
33,LH_SomMot_2,7Networks,LH,SomMot,#4680b4
34,LH_SomMot_3,7Networks,LH,SomMot,#4681ad
35,LH_SomMot_4,7Networks,LH,SomMot,#4681ae
36,LH_SomMot_5,7Networks,LH,SomMot,#4681af
37,LH_SomMot_6,7Networks,LH,SomMot,#4681b0
38,LH_SomMot_7,7Networks,LH,SomMot,#4681b1
39,LH_SomMot_8,7Networks,LH,SomMot,#4681b2
40,LH_SomMot_9,7Networks,LH,SomMot,#4681b3
41,LH_SomMot_10,7Networks,LH,SomMot,#4681b4
42,LH_SomMot_11,7Networks,LH,SomMot,#4682ad
43,LH_SomMot_12,7Networks,LH,SomMot,#4682ae
44,LH_SomMot_13,7Networks,LH,SomMot,#4682af
45,LH_SomMot_14,7Networks,LH,SomMot,#4682b0
46,LH_SomMot_15,7Networks,LH,SomMot,#4682b1
47,LH_SomMot_16,7Networks,LH,SomMot,#4682b2
48,LH_SomMot_17,7Networks,LH,SomMot,#4682b3
49,LH_SomMot_18,7Networks,LH,SomMot,#4682b5
50,LH_SomMot_19,7Networks,LH,SomMot,#4682b6
51,LH_SomMot_20,7Networks,LH,SomMot,#4682b7
52,LH_SomMot_21,7Networks,LH,SomMot,#4682b8
53,LH_SomMot_22,7Networks,LH,SomMot,#4682b9
54,LH_SomMot_23,7Networks,LH,SomMot,#4682ba
55,LH_SomMot_24,7Networks,LH,SomMot,#4682bb
56,LH_SomMot_25,7Networks,LH,SomMot,#4683b4
57,LH_SomMot_26,7Networks,LH,SomMot,#4683b5
58,LH_SomMot_27,7Networks,LH,SomMot,#4683b6
59,LH_SomMot_28,7Networks,LH,SomMot,#4683b7
60,LH_SomMot_29,7Networks,LH,SomMot,#4683b8
61,LH_SomMot_30,7Networks,LH,SomMot,#4683b9
62,LH_SomMot_31,7Networks,LH,SomMot,#4683ba
63,LH_SomMot_32,7Networks,LH,SomMot,#4683bb
64,LH_SomMot_33,7Networks,LH,SomMot,#4684b4
65,LH_SomMot_34,7Networks,LH,SomMot,#4684b5
66,LH_SomMot_35,7Networks,LH,SomMot,#4684b6
67,LH_SomMot_36,7Networks,LH,SomMot,#4684b7
68,LH_SomMot_37,7Networks,LH,SomMot,#4684b8
